exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,201,1,4,4,0,1,[0 2 3 1],0,1.3736533999981475,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 2 3 0],1,1.6775118000005023,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,2,0,0,[2 1 0 3],0,1.8598375000001397,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 3 0 2],0,2.898939700004121,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[0 3 1 2],1,3.0317920000015874,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[1 3 2 0],0,1.547218799998518,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[3 1 0 2],1,1.4733807000011439,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,3,0,0,[3 0 2 1],1,3.485572300000058,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 2 3 0],1,2.1074013999968884,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[3 1 0 2],0,1.3897862000012537,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 3 2 0],1,1.1568236999955843,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,2,0,0,[2 3 0 1],0,3.141400100001192,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 3 0 2],0,2.4519797999964794,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[2 0 3 1],0,1.3666365999961272,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[2 0 3 1],1,1.341637500001525,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[1 0 3 2],1,1.635951500000374,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[2 0 3 1],1,1.4061978999961866,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[0 1 3 2],0,1.5675222999998368,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[0 1 2 3],1,1.529816700000083,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[3 2 0 1],1,1.4460973000022932,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 2 0 3],0,1.0951229000056628,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 2 0 3],0,2.8204627000013716,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[2 3 0 1],0,2.463668800002779,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 0 2 1],1,1.1006329000010737,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,1,0,0,[0 3 2 1],0,1.1328279000008479,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,2,2,0,1,[1 2 0 3],1,1.533185800006322,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 0 2 3],0,1.9787347000019508,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[2 1 3 0],0,1.1100480000022799,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,2,0,0,[2 0 3 1],0,0.5653692999985651,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[0 3 1 2],0,1.6528487999967183,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 3 2 0],1,1.3431665000025532,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 1 2 0],0,1.1796003000054043,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,4,0,0,[2 0 3 1],0,4.355910300000687,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[2 1 0 3],0,2.75689710000006,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[3 1 2 0],0,1.9282356999974581,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,1,1,0,1,[1 3 0 2],0,1.1347003999981098,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,3,3,0,1,[1 2 3 0],0,1.5986091999948258,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,1,4,4,0,1,[1 0 2 3],1,2.6153922000012244,21,Female,[1 3 0 2],[3 1 2 0]
