exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,403,1,2,2,0,1,[0 3 1 2],1,1.4626774999996996,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[0 2 3 1],0,2.464587999998912,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[0 1 2 3],0,4.167771799999173,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[1 0 3 2],1,1.2313611999998102,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[1 3 0 2],0,3.703224199998658,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[3 0 1 2],0,4.117637600000307,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[0 3 2 1],0,3.1682067000001553,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[0 1 2 3],0,4.20711129999836,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[1 0 3 2],1,1.1534967000006873,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[1 2 0 3],1,1.5095424000028288,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[1 3 0 2],0,3.587499699999171,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[2 3 0 1],0,2.7737273999991885,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[2 0 1 3],1,2.568670900000143,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[1 2 0 3],1,1.1664994999991904,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[2 3 0 1],0,2.6572678000011365,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[0 3 1 2],1,1.7248259999978472,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[3 1 0 2],1,1.141849199997523,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,1,3,0,0,[3 0 1 2],1,4.537837700001546,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[0 3 1 2],1,1.0631400999991456,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,2,2,0,1,[3 2 1 0],1,0.8561980000013136,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,4,4,0,1,[3 2 0 1],0,1.944986999998946,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[2 3 0 1],1,4.910923700001149,29,Female,[2 3 1 0],[0 2 1 3]
UNW01,403,2,3,1,0,0,[1 0 2 3],1,1.3747669000003953,29,Female,[2 3 1 0],[0 2 1 3]
